Actual,RF_Predicted,LR_Predicted
353.0,387.37,288.5887210366873
56.0,129.23,235.37450206587164
143.0,123.89,236.51443163237127
55.0,172.19,152.96753143861133
605.0,223.65,273.2768993978443
80.0,120.83,223.76425024058517
115.0,89.68,143.49168710390586
248.0,304.75,238.641188129488
495.0,392.53,284.7946365106545
847.0,507.27,248.1074447587871
144.0,225.78,239.58303212971623
178.0,162.04,124.01754993687427
369.0,565.17,231.28900410043752
170.0,293.48,223.23974629677468
207.0,203.57,276.02676813921425
156.0,199.75,231.51394461211385
284.0,587.12,219.43747922003604
104.0,204.66,214.83292891254314
84.0,82.01,222.80482748735812
125.0,142.86,240.9178141177308
493.0,300.51,283.86688988105016
104.0,157.09,229.6027641659748
226.0,202.82,237.35155918875535
275.0,299.12,290.81736241139697
167.0,205.18,181.6991463586437
68.0,125.87,128.25196049788065
155.0,187.61,263.5369175752239
221.0,181.46,217.17613291465568
158.0,134.01,192.3614107957037
88.0,188.94,157.0555656153956
111.0,116.32,160.06870488191817
102.0,303.13,292.3964618214268
216.0,217.85,238.2409372639704
231.0,269.21,241.9301019826271
431.0,253.39,168.11261288762034
185.0,193.65,284.0674780928657
145.0,140.14,60.66620676182902
309.0,246.62,156.48057619903375
99.0,112.35,153.89634571791066
42.0,52.51,185.97650931311728
75.0,261.48,278.36069014636814
300.0,285.92,288.08761677712755
207.0,222.07,246.759022980792
38.0,188.23,137.0601240600863
241.0,248.11,213.8951329144802
179.0,271.17,288.1227368005275
174.0,254.31,228.05528651392888
110.0,146.35,201.46264515888652
136.0,152.52,283.8581399018203
196.0,227.99,114.84305412478716
528.0,178.62,234.87472310635712
261.0,321.59,293.17656053296923
234.0,193.83,276.30952304356106
287.0,292.48,234.8798238295385
294.0,354.94,232.3177317569116
120.0,259.37,215.00866478341413
195.0,331.99,296.4017051337378
121.0,142.37,176.29285544323648
57.0,63.09,177.63845040105844
168.0,270.9,287.81691548639174
70.0,78.71,132.10650528425685
109.0,122.49,142.02155761650283
115.0,141.81,237.83683349069724
80.0,98.06,161.8161800962189
86.0,149.78,159.43974509395775
292.0,154.26,109.29798242932156
419.0,294.43,279.87676442725206
122.0,248.52,248.52966693641065
272.0,293.23,254.32640657042612
330.0,318.94,214.2687765950668
172.0,178.0,280.11158315921966
150.0,936.72,236.55985085214706
253.0,269.07,209.33442238696807
57.0,188.23,234.16111018813535
416.0,282.58,221.64742807393122
34.0,54.55,178.17823880442302
102.0,133.15,255.9588953706898
116.0,130.09,136.1211880512128
377.0,227.35,248.13141762520536
393.0,227.68,264.2834955413473
199.0,346.25,257.27540347829563
213.0,405.11,290.2122048036672
144.0,168.65,220.0770088452864
385.0,369.44,264.2319992543089
161.0,193.74,203.87897311201232
495.0,183.35,183.6531625402913
95.0,123.53,269.9551906305005
169.0,172.91,217.01029160307553
309.0,94.6,200.4496836638118
133.0,150.7,241.8573486106161
270.0,184.14,225.71210308510672
3537.0,137.02,151.40677371569654
103.0,240.31,151.6081610861129
412.0,274.95,236.7359343366079
137.0,119.36,259.1789126761287
102.0,141.58,201.4923637930533
29.0,46.24,80.73231192974345
38.0,71.64,94.45626854384682
90.0,120.09,204.98676777434594
401.0,404.41,266.7238304869443
219.0,198.14714285714285,290.70221229171693
80.0,207.26,294.6277025340278
327.0,309.4,169.03387164972264
101.0,164.3,133.27387512437417
179.0,161.39,256.15831906692074
43.0,65.79,135.6689867795285
142.0,150.49,200.70173314366912
140.0,136.34,240.27225331987756
215.0,546.5,233.29036072340205
160.0,184.01,199.416663740918
129.0,262.1,289.0189360105669
95.0,154.95,257.04638470022655
319.0,194.1,267.71396745931816
379.0,260.18,287.46175307250087
551.0,416.25,256.8424542457815
55.0,79.41,232.92851020693342
77.0,108.66,161.46247629742356
52.0,379.27,231.17703792394605
327.0,320.63,236.36927603753247
98.0,349.53,251.3928108626733
90.0,195.01,246.53594795937533
175.0,217.85,262.3846477007428
153.0,120.78,184.42012960712054
99.0,115.68,187.59649096346038
154.0,128.38,263.3113372302032
513.0,471.76,242.46951545728916
33.0,155.57,43.18631242277479
117.0,165.12,98.05721192969031
178.0,244.25,266.40338821154
75.0,80.52,156.0467401546266
174.0,157.56,198.81124598663519
193.0,205.42,159.02236798334343
186.0,162.41,133.90130523976768
298.0,171.96,170.4664329928146
81.0,168.08,255.57686667224334
101.0,87.45,441.85530628468223
36.0,51.78,95.4504277366268
185.0,203.82,152.5524666505189
22.0,127.81,232.11436328530544
211.0,428.01,263.7493412191525
69.0,56.23,147.30273473342095
35.0,50.28,207.4480150032905
324.0,251.06,227.01629020906512
125.0,136.86,172.95846521699787
70.0,81.69,224.6791327284118
366.0,248.56,257.9613263133124
300.0,129.96,171.65890699037845
420.0,415.46,226.54198122282287
278.0,146.7,160.3308291666599
42.0,56.14,13.41909076479351
256.0,114.52,227.3453175939867
462.0,254.94,242.54927500391568
147.0,167.08,199.76735058259328
256.0,482.31,241.47602388095402
163.0,280.62,227.6232182411186
257.0,203.69,180.15506345443828
44.0,229.22,249.4774220393101
591.0,195.04,224.86561615524806
75.0,589.19,134.56401137193643
203.0,233.37,291.7645722820125
29.0,62.21,213.61810843540115
145.0,143.38,246.70748206188
175.0,213.62,217.15789883838443
30.0,74.64,97.4735491188876
123.0,331.77,280.13781357061634
183.0,188.146,272.4037811549606
449.0,272.55,218.88095994221294
374.0,336.19,292.99131241897885
98.0,192.74,195.55019753655142
174.0,146.09,226.04058448740034
109.0,141.4,272.7386036491407
478.0,554.46,268.9688331212401
45.0,95.87,158.92243785788196
161.0,141.92,194.87200586433937
65.0,171.11,164.39565947239498
196.0,311.1,237.56421675302408
60.0,61.9,151.1484981210615
236.0,210.03,225.98840723691137
194.0,214.27,178.87447013038036
79.0,137.0,193.36276045159866
238.0,236.65,243.45092941545045
288.0,227.44,230.81596101903415
159.0,136.12,138.9211572076656
479.0,608.64,243.3237275509564
58.0,127.546,237.16178184413184
168.0,326.4,248.37728642917318
222.0,235.19,185.47529445897635
105.0,183.38,172.6787578791991
131.0,122.97,249.8719407183744
120.0,175.91,192.95764812307243
133.0,250.39,125.37424709154584
166.0,124.35,151.2406908620942
248.0,242.87,200.54662994756472
63.0,100.61,189.48003126768526
76.0,199.37,189.810905555114
188.0,56.43,196.23670369503452
834.0,574.14,270.4802529074386
83.0,164.12,233.65201450112545
146.0,864.72,291.44161515130327
103.0,91.99,156.92542812596366
132.0,140.94,180.89153104685283
60.0,67.68,167.82056846580417
277.0,285.32,282.8603902598825
176.0,176.07,230.6649910180222
247.0,326.42,226.4262975735528
401.0,286.31,290.6533391926041
356.0,194.6,209.158865592839
125.0,153.54,146.0643789015976
51.0,43.76,68.45924321014536
433.0,395.52,292.94956237511724
48.0,51.57,205.33224556295136
134.0,117.65,168.43457250440224
186.0,203.25,152.56881096188044
242.0,265.8,250.51112593845937
100.0,148.46,164.80484980278197
337.0,309.18,225.26391346897617
159.0,114.27,146.70176920265476
54.0,55.58,107.30076777707109
238.0,176.06,142.14066609495057
203.0,198.21,147.1009809773568
77.0,174.17,250.36751279114287
118.0,155.73,193.09167211331442
90.0,550.3,280.15725205228955
211.0,93.93,209.85916115873079
296.0,300.36,207.84403017790282
176.0,335.75,277.36758221482523
374.0,334.85,211.12600310326707
134.0,133.36,139.0859311813674
219.0,165.49,228.05746356151212
291.0,268.95,264.19643333469503
1003.0,274.51,254.43604460519782
76.0,107.51,221.22553604843233
220.0,232.53,278.1961530367462
139.0,230.03,240.95387320587906
115.0,121.52,231.06544896655214
187.0,206.11,281.45372715269696
301.0,208.7,229.68034314053693
278.0,199.21,242.38711209675057
122.0,114.87,184.41164016472612
170.0,602.03,275.62398350667354
213.0,268.42,249.9397448133077
427.0,271.09,262.51108729418047
242.0,161.95,147.10598945926176
335.0,302.24,227.53116313335158
178.0,373.99,291.0582217629326
141.0,315.68,277.8184244531676
226.0,302.66,207.10142237166292
283.0,850.65,232.56783536295188
299.0,203.71,253.51912330378764
80.0,142.36,146.32650042970818
83.0,213.75,266.7338593718687
206.0,285.82,294.1117416773759
182.0,290.13,166.74850313927527
225.0,301.56,282.0691252006818
304.0,365.59,276.95613926067745
143.0,232.77,202.95947381053702
675.0,350.81,283.87258974108045
223.0,413.73,331.620482352575
